participant;condition;order;event;target_x;target_y;mean_x;mean_y;dist_x;dist_y;euclidean;sd_x;sd_y;rmss2s;lux
10;uniteye;1;3;1810;90;1601.096421818182;162.7012764;208.90357818181812;72.92827112727272;226.565304077896;29.198132103356;55.9217536020827;621.3734869134402;523
10;uniteye;1;4;510;340;334.1895563636363;660.91914;175.81044363636363;320.91914;369.9035537491244;58.65678536347077;66.28787952944536;810.0548438796326;523
10;uniteye;1;5;1410;340;1500.7255185454546;518.5863589090909;91.24003781818185;180.1799718787879;205.99118681836805;42.70439767932899;77.35918667269148;849.0760804573529;523
10;uniteye;1;6;960;540;1137.4029818181816;817.5579038181817;177.4029818181818;277.5579038181818;335.5088561763314;72.34448714228331;41.3188802691857;815.9274147809167;523
10;uniteye;1;7;510;740;293.22339141818173;1113.0909578181818;216.77660858181807;373.0909578181818;441.3061338081841;99.49021230934456;39.17062975089412;1085.614810327781;523
10;uniteye;1;8;1410;740;1509.287429818182;913.9961405454544;99.28742981818182;173.99614054545455;203.4370525913297;33.747055893655926;44.320601040672194;575.1903615426276;523
10;uniteye;1;9;110;990;-112.96981061818182;1289.4551345454547;222.96981061818184;299.45513454545454;374.3958876015642;29.18179260881007;44.22527028923628;471.7319858981632;523
10;uniteye;1;10;960;940;1191.9234909090908;1251.2947745454546;231.92349090909093;311.2947745454546;393.2468599379295;67.05773542510967;38.61850592464148;768.2366692920538;523
10;uniteye;1;11;1810;990;1682.425192727273;1040.441954727273;127.5748072727273;58.0485758181818;145.00195569914658;28.576349270295008;48.5587729703302;500.2145982713019;523
11;tobii;0;1;110;90;98.9965992;71.71354683;11.19253525333333;20.47102836;23.987709908442746;5.279813577720354;14.650934510375514;72.44235432726909;508
11;tobii;0;2;960;140;951.5945312;126.876449925;8.8354896;16.212026775000002;19.491579477387184;6.244868417272362;21.426331918024125;97.0196904995429;508
11;tobii;0;3;1810;90;1801.258016;94.989229875;10.557842666666662;9.521900115;15.687666828679918;9.492794244768891;12.20567671982341;67.8125518392382;508
11;tobii;0;4;510;340;480.01836;313.6055148;29.981639999999995;26.54956096666666;42.63227032340122;7.0723818954940505;16.613200696214477;58.169664473422905;508
11;tobii;0;5;1410;340;1417.066216;308.49522390000004;7.37330080000001;31.5047761;32.59821422433159;5.06657050043124;8.168324595759893;60.649910893441366;508
11;tobii;0;6;960;540;946.8860728;529.8111526499999;13.113927200000004;12.31871445;19.29903054840837;4.7157570452715385;9.8862354471057;82.83133296799373;508
11;tobii;0;7;510;740;466.0764128;717.2880655499999;43.92358719999999;22.83299038333333;50.201525573056415;8.278456309219546;10.534569672656003;83.48185441304763;508
11;tobii;0;8;1410;740;1414.883772;721.8532926;5.776434400000001;18.1467074;19.486434614503324;5.203103348210279;6.904596974889884;70.06794967261493;508
